inventory_id,product_id,bin_id,quantity,date_added
1,1,A05-S3-B01,2,2024-10-30 05:50:27.356109
2,2,A08-S4-B01,5,2024-10-26 05:50:27.356109
3,2,A08-S4-B06,2,2024-10-22 05:50:27.356109
4,3,A07-S2-B01,4,2024-11-01 05:50:27.356109
5,3,A07-S2-B03,5,2024-11-08 05:50:27.356109
6,3,A06-S3-B04,5,2024-10-30 05:50:27.356109
7,4,A08-S2-B01,5,2024-10-26 05:50:27.356109
8,4,A08-S4-B05,1,2024-10-31 05:50:27.356109
9,4,A08-S3-B04,2,2024-11-16 05:50:27.356109
10,5,A04-S4-B01,2,2024-10-20 05:50:27.356109
11,5,A02-S1-B03,2,2024-10-24 05:50:27.356109
12,5,A02-S3-B03,1,2024-11-08 05:50:27.356109
13,6,A04-S1-B03,3,2024-10-25 05:50:27.356109
14,7,A01-S2-B02,4,2024-10-24 05:50:27.356109
15,7,A01-S2-B04,4,2024-11-15 05:50:27.356109
16,8,A10-S2-B02,3,2024-10-28 05:50:27.356109
17,8,A10-S1-B01,4,2024-11-19 05:50:27.356109
18,9,A08-S1-B06,1,2024-10-20 05:50:27.356109
19,9,A08-S2-B03,1,2024-11-15 05:50:27.356109
20,9,A08-S2-B02,5,2024-10-20 05:50:27.356109
21,10,A06-S3-B01,2,2024-10-25 05:50:27.356109
22,11,A02-S3-B04,3,2024-11-13 05:50:27.356109
23,12,A08-S3-B05,3,2024-11-08 05:50:27.356109
24,13,A07-S3-B04,3,2024-10-31 05:50:27.356109
25,14,A02-S2-B02,2,2024-10-29 05:50:27.356109
26,14,A02-S3-B06,4,2024-11-05 05:50:27.356109
27,14,A03-S2-B03,4,2024-11-13 05:50:27.356109
28,15,A05-S4-B05,1,2024-10-26 05:50:27.356109
29,15,A03-S3-B02,4,2024-11-01 05:50:27.356109
30,16,A04-S4-B03,1,2024-10-28 05:50:27.356109
31,16,A04-S4-B01,2,2024-11-18 05:50:27.356109
32,17,A01-S4-B05,1,2024-11-04 05:50:27.356109
33,17,A03-S2-B01,2,2024-11-08 05:50:27.356109
34,18,A08-S2-B02,3,2024-11-16 05:50:27.368614
35,18,A08-S3-B06,4,2024-11-12 05:50:27.368614
36,18,A08-S4-B06,5,2024-10-25 05:50:27.368614
37,19,A05-S2-B04,3,2024-11-11 05:50:27.368614
38,19,A05-S1-B01,2,2024-11-08 05:50:27.368614
39,19,A05-S4-B06,1,2024-10-22 05:50:27.368614
40,20,A05-S4-B02,3,2024-10-20 05:50:27.368614
41,20,A01-S4-B04,2,2024-11-16 05:50:27.368614
42,20,A03-S3-B01,1,2024-11-07 05:50:27.368614
43,21,A08-S2-B02,1,2024-11-02 05:50:27.368614
44,21,A08-S4-B01,1,2024-11-03 05:50:27.368614
45,21,A08-S3-B04,3,2024-11-19 05:50:27.368614
46,22,A05-S3-B01,5,2024-11-19 05:50:27.368614
