bin_id,aisle,shelf,bin_num,zone_type,x_coord,y_coord,z_coord,length,width,height,max_weight,distance_to_pickup,requires_ladder
A01-S1-B01,1,1,1,normal,1,1,1,0.6,0.4,0.4,50.0,0,False
A01-S1-B02,1,1,2,normal,1,1,2,0.6,0.4,0.4,50.0,1,False
A01-S1-B03,1,1,3,normal,1,1,3,0.6,0.4,0.4,50.0,2,False
A01-S1-B04,1,1,4,normal,1,1,4,0.6,0.4,0.4,50.0,3,False
A01-S1-B05,1,1,5,normal,1,1,5,0.6,0.4,0.4,50.0,4,False
A01-S1-B06,1,1,6,normal,1,1,6,0.6,0.4,0.4,50.0,5,False
A01-S2-B01,1,2,1,normal,1,2,1,0.6,0.4,0.4,50.0,1,False
A01-S2-B02,1,2,2,normal,1,2,2,0.6,0.4,0.4,50.0,2,False
A01-S2-B03,1,2,3,normal,1,2,3,0.6,0.4,0.4,50.0,3,False
A01-S2-B04,1,2,4,normal,1,2,4,0.6,0.4,0.4,50.0,4,False
A01-S2-B05,1,2,5,normal,1,2,5,0.6,0.4,0.4,50.0,5,False
A01-S2-B06,1,2,6,normal,1,2,6,0.6,0.4,0.4,50.0,6,False
A01-S3-B01,1,3,1,normal,1,3,1,0.6,0.4,0.4,50.0,2,True
A01-S3-B02,1,3,2,normal,1,3,2,0.6,0.4,0.4,50.0,3,True
A01-S3-B03,1,3,3,normal,1,3,3,0.6,0.4,0.4,50.0,4,True
A01-S3-B04,1,3,4,normal,1,3,4,0.6,0.4,0.4,50.0,5,True
A01-S3-B05,1,3,5,normal,1,3,5,0.6,0.4,0.4,50.0,6,True
A01-S3-B06,1,3,6,normal,1,3,6,0.6,0.4,0.4,50.0,7,True
A01-S4-B01,1,4,1,normal,1,4,1,0.6,0.4,0.4,50.0,3,True
A01-S4-B02,1,4,2,normal,1,4,2,0.6,0.4,0.4,50.0,4,True
A01-S4-B03,1,4,3,normal,1,4,3,0.6,0.4,0.4,50.0,5,True
A01-S4-B04,1,4,4,normal,1,4,4,0.6,0.4,0.4,50.0,6,True
A01-S4-B05,1,4,5,normal,1,4,5,0.6,0.4,0.4,50.0,7,True
A01-S4-B06,1,4,6,normal,1,4,6,0.6,0.4,0.4,50.0,8,True
A02-S1-B01,2,1,1,normal,2,1,1,0.6,0.4,0.4,50.0,1,False
A02-S1-B02,2,1,2,normal,2,1,2,0.6,0.4,0.4,50.0,2,False
A02-S1-B03,2,1,3,normal,2,1,3,0.6,0.4,0.4,50.0,3,False
A02-S1-B04,2,1,4,normal,2,1,4,0.6,0.4,0.4,50.0,4,False
A02-S1-B05,2,1,5,normal,2,1,5,0.6,0.4,0.4,50.0,5,False
A02-S1-B06,2,1,6,normal,2,1,6,0.6,0.4,0.4,50.0,6,False
A02-S2-B01,2,2,1,normal,2,2,1,0.6,0.4,0.4,50.0,2,False
A02-S2-B02,2,2,2,normal,2,2,2,0.6,0.4,0.4,50.0,3,False
A02-S2-B03,2,2,3,normal,2,2,3,0.6,0.4,0.4,50.0,4,False
A02-S2-B04,2,2,4,normal,2,2,4,0.6,0.4,0.4,50.0,5,False
A02-S2-B05,2,2,5,normal,2,2,5,0.6,0.4,0.4,50.0,6,False
A02-S2-B06,2,2,6,normal,2,2,6,0.6,0.4,0.4,50.0,7,False
A02-S3-B01,2,3,1,normal,2,3,1,0.6,0.4,0.4,50.0,3,True
A02-S3-B02,2,3,2,normal,2,3,2,0.6,0.4,0.4,50.0,4,True
A02-S3-B03,2,3,3,normal,2,3,3,0.6,0.4,0.4,50.0,5,True
A02-S3-B04,2,3,4,normal,2,3,4,0.6,0.4,0.4,50.0,6,True
A02-S3-B05,2,3,5,normal,2,3,5,0.6,0.4,0.4,50.0,7,True
A02-S3-B06,2,3,6,normal,2,3,6,0.6,0.4,0.4,50.0,8,True
A02-S4-B01,2,4,1,normal,2,4,1,0.6,0.4,0.4,50.0,4,True
A02-S4-B02,2,4,2,normal,2,4,2,0.6,0.4,0.4,50.0,5,True
A02-S4-B03,2,4,3,normal,2,4,3,0.6,0.4,0.4,50.0,6,True
A02-S4-B04,2,4,4,normal,2,4,4,0.6,0.4,0.4,50.0,7,True
A02-S4-B05,2,4,5,normal,2,4,5,0.6,0.4,0.4,50.0,8,True
A02-S4-B06,2,4,6,normal,2,4,6,0.6,0.4,0.4,50.0,9,True
A03-S1-B01,3,1,1,normal,3,1,1,0.6,0.4,0.4,50.0,2,False
A03-S1-B02,3,1,2,normal,3,1,2,0.6,0.4,0.4,50.0,3,False
A03-S1-B03,3,1,3,normal,3,1,3,0.6,0.4,0.4,50.0,4,False
A03-S1-B04,3,1,4,normal,3,1,4,0.6,0.4,0.4,50.0,5,False
A03-S1-B05,3,1,5,normal,3,1,5,0.6,0.4,0.4,50.0,6,False
A03-S1-B06,3,1,6,normal,3,1,6,0.6,0.4,0.4,50.0,7,False
A03-S2-B01,3,2,1,normal,3,2,1,0.6,0.4,0.4,50.0,3,False
A03-S2-B02,3,2,2,normal,3,2,2,0.6,0.4,0.4,50.0,4,False
A03-S2-B03,3,2,3,normal,3,2,3,0.6,0.4,0.4,50.0,5,False
A03-S2-B04,3,2,4,normal,3,2,4,0.6,0.4,0.4,50.0,6,False
A03-S2-B05,3,2,5,normal,3,2,5,0.6,0.4,0.4,50.0,7,False
A03-S2-B06,3,2,6,normal,3,2,6,0.6,0.4,0.4,50.0,8,False
A03-S3-B01,3,3,1,normal,3,3,1,0.6,0.4,0.4,50.0,4,True
A03-S3-B02,3,3,2,normal,3,3,2,0.6,0.4,0.4,50.0,5,True
A03-S3-B03,3,3,3,normal,3,3,3,0.6,0.4,0.4,50.0,6,True
A03-S3-B04,3,3,4,normal,3,3,4,0.6,0.4,0.4,50.0,7,True
A03-S3-B05,3,3,5,normal,3,3,5,0.6,0.4,0.4,50.0,8,True
A03-S3-B06,3,3,6,normal,3,3,6,0.6,0.4,0.4,50.0,9,True
A03-S4-B01,3,4,1,normal,3,4,1,0.6,0.4,0.4,50.0,5,True
A03-S4-B02,3,4,2,normal,3,4,2,0.6,0.4,0.4,50.0,6,True
A03-S4-B03,3,4,3,normal,3,4,3,0.6,0.4,0.4,50.0,7,True
A03-S4-B04,3,4,4,normal,3,4,4,0.6,0.4,0.4,50.0,8,True
A03-S4-B05,3,4,5,normal,3,4,5,0.6,0.4,0.4,50.0,9,True
A03-S4-B06,3,4,6,normal,3,4,6,0.6,0.4,0.4,50.0,10,True
A04-S1-B01,4,1,1,normal,4,1,1,0.6,0.4,0.4,50.0,3,False
A04-S1-B02,4,1,2,normal,4,1,2,0.6,0.4,0.4,50.0,4,False
A04-S1-B03,4,1,3,normal,4,1,3,0.6,0.4,0.4,50.0,5,False
A04-S1-B04,4,1,4,normal,4,1,4,0.6,0.4,0.4,50.0,6,False
A04-S1-B05,4,1,5,normal,4,1,5,0.6,0.4,0.4,50.0,7,False
A04-S1-B06,4,1,6,normal,4,1,6,0.6,0.4,0.4,50.0,8,False
A04-S2-B01,4,2,1,normal,4,2,1,0.6,0.4,0.4,50.0,4,False
A04-S2-B02,4,2,2,normal,4,2,2,0.6,0.4,0.4,50.0,5,False
A04-S2-B03,4,2,3,normal,4,2,3,0.6,0.4,0.4,50.0,6,False
A04-S2-B04,4,2,4,normal,4,2,4,0.6,0.4,0.4,50.0,7,False
A04-S2-B05,4,2,5,normal,4,2,5,0.6,0.4,0.4,50.0,8,False
A04-S2-B06,4,2,6,normal,4,2,6,0.6,0.4,0.4,50.0,9,False
A04-S3-B01,4,3,1,normal,4,3,1,0.6,0.4,0.4,50.0,5,True
A04-S3-B02,4,3,2,normal,4,3,2,0.6,0.4,0.4,50.0,6,True
A04-S3-B03,4,3,3,normal,4,3,3,0.6,0.4,0.4,50.0,7,True
A04-S3-B04,4,3,4,normal,4,3,4,0.6,0.4,0.4,50.0,8,True
A04-S3-B05,4,3,5,normal,4,3,5,0.6,0.4,0.4,50.0,9,True
A04-S3-B06,4,3,6,normal,4,3,6,0.6,0.4,0.4,50.0,10,True
A04-S4-B01,4,4,1,normal,4,4,1,0.6,0.4,0.4,50.0,6,True
A04-S4-B02,4,4,2,normal,4,4,2,0.6,0.4,0.4,50.0,7,True
A04-S4-B03,4,4,3,normal,4,4,3,0.6,0.4,0.4,50.0,8,True
A04-S4-B04,4,4,4,normal,4,4,4,0.6,0.4,0.4,50.0,9,True
A04-S4-B05,4,4,5,normal,4,4,5,0.6,0.4,0.4,50.0,10,True
A04-S4-B06,4,4,6,normal,4,4,6,0.6,0.4,0.4,50.0,11,True
A05-S1-B01,5,1,1,normal,5,1,1,0.6,0.4,0.4,50.0,4,False
A05-S1-B02,5,1,2,normal,5,1,2,0.6,0.4,0.4,50.0,5,False
A05-S1-B03,5,1,3,normal,5,1,3,0.6,0.4,0.4,50.0,6,False
A05-S1-B04,5,1,4,normal,5,1,4,0.6,0.4,0.4,50.0,7,False
A05-S1-B05,5,1,5,normal,5,1,5,0.6,0.4,0.4,50.0,8,False
